k,layer_from,layer_to,is_final_transition,format,position,category,prompt_slug,jaccard,weighted_similarity,cosine_similarity,frequency_adjusted_similarity,similarity_without_output_token,delta_explained_fraction
10,14,21,false,chat,-2,antonym,chat-antonym-early,0.052631579,0.00054961478,0.12308768,0.00036322373,0.00054961478,-0.0011814237
10,14,21,false,chat,-2,antonym,chat-antonym-north,0.052631579,0.00042341736,0.06562292,0.00027927691,0.00042341736,-0.0011506081
10,14,21,false,chat,-2,association,chat-association-desert,0.052631579,0.00043407344,0.14120995,0.00028632202,0.00043407344,-0.0011127591
10,14,21,false,chat,-2,counting,chat-counting-triangle,0.052631579,0.00045761494,0.058622412,0.00030555353,0.00045761494,-0.0012090802
10,14,21,false,chat,-2,factual,chat-factual-canberra,0,0,0,0,0,-0.0012404323
10,14,21,false,chat,-2,factual,chat-factual-gold,0.11111111,0.0011309027,0.21667007,0.00080453232,0.0011309027,-0.0010631084
10,14,21,false,chat,-2,multihop,chat-multihop-sushi-currency,0.052631579,0.00053165671,0.094212681,0.00035605102,0.00053165671,-0.0011547208
10,14,21,false,chat,-2,syntactic,chat-syntactic-plural-child,0.052631579,0.00056889532,0.065794273,0.00037494926,0.00056889532,-0.0011043549
10,14,21,false,chat,-1,antonym,chat-antonym-early,0,0,0,0,0,-0.00039899349
10,14,21,false,chat,-1,antonym,chat-antonym-north,0,0,0,0,0,-0.00063711405
10,14,21,false,chat,-1,association,chat-association-desert,0,0,0,0,0,-0.00045448542
10,14,21,false,chat,-1,counting,chat-counting-triangle,0,0,0,0,0,-0.00037062168
10,14,21,false,chat,-1,factual,chat-factual-canberra,0,0,0,0,0,-0.00039064884
10,14,21,false,chat,-1,factual,chat-factual-gold,0.055555556,0.0004206551,0.097168555,0.00035166532,0.0004206551,-0.00034284592
10,14,21,false,chat,-1,multihop,chat-multihop-sushi-currency,0,0,0,0,0,-0.00037622452
10,14,21,false,chat,-1,syntactic,chat-syntactic-plural-child,0.052631579,0.00042157941,0.067978026,0.0003749702,0.00042157941,-0.00038397312
10,14,21,false,plain,-2,antonym,antonym-early-late,0.052631579,0.00016126304,0.25435874,0.00016203511,0.00016126304,-0.0028168559
10,14,21,false,plain,-2,antonym,antonym-fast-slow,0,0,0,0,0,-0.0010456443
10,14,21,false,plain,-2,antonym,antonym-north-south,0.052631579,0.00012904275,0.069264696,0.0001445561,0.00012904275,-0.00086432695
10,14,21,false,plain,-2,antonym,antonym-tall-short,0.11111111,0.00019798964,0.10160813,0.00014475067,0.00019798964,-0.00088799
10,14,21,false,plain,-2,antonym,antonym-victory-defeat,0.17647059,0.00046583978,0.3451582,0.00042472056,0.00046583978,-0.0038781166
10,14,21,false,plain,-2,association,association-birthday,0.11111111,0.00042945535,0.41447646,0.00039371968,0.00042945535,-0.0018470883
10,14,21,false,plain,-2,association,association-desert,0,0,0,0,0,-0.0022729635
10,14,21,false,plain,-2,association,association-doctor,0.052631579,0.00025532297,0.16322753,0.00027397685,0.00025532297,-0.0010820627
10,14,21,false,plain,-2,association,association-storm,0,0,0,0,0,-0.0023851991
10,14,21,false,plain,-2,association,association-violin,0,0,0,0,0,-0.00097697973
10,14,21,false,plain,-2,counting,counting-colors-three,0.11111111,0.00018479769,0.12877929,0.00015787329,0.00018479769,-0.0020968318
10,14,21,false,plain,-2,counting,counting-days-four,0.052631579,0.00011064285,0.024539388,0.00011586167,0.00011064285,-0.001529634
10,14,21,false,plain,-2,counting,counting-triangle-sides,0.11111111,0.0002366422,0.028686148,0.00022744323,0.0002366422,-0.0027095079
10,14,21,false,plain,-2,counting,counting-week-days,0.11111111,0.00027868858,0.32330951,0.00027730325,0.00027868858,-0.0029335618
10,14,21,false,plain,-2,factual,factual-canberra,0.17647059,0.00052040678,0.5395583,0.00050675958,0.00052040678,-0.0041074753
10,14,21,false,plain,-2,factual,factual-gold-symbol,0.052631579,0.00041020421,0.60634099,0.00035524149,0.00041020421,-0.0037847757
10,14,21,false,plain,-2,factual,factual-mercury,0.052631579,0.00014484688,0.11274309,0.00011996842,0.00014484688,-0.0022511482
10,14,21,false,plain,-2,factual,factual-pacific,0,0,0,0,0,-0.0015776753
10,14,21,false,plain,-2,factual,factual-photosynthesis,0,0,0,0,0,-0.0023404956
10,14,21,false,plain,-2,factual,factual-shakespeare,0,0,0,0,0,-0.0029646158
10,14,21,false,plain,-2,multihop,multihop-cairo-continent,0,0,0,0,0,-0.0028569698
10,14,21,false,plain,-2,multihop,multihop-eiffel-capital,0.11764706,0.00025377092,0.22288175,0.00019087245,0.00025377092,-0.0013167858
10,14,21,false,plain,-2,multihop,multihop-kangaroo-hemisphere,0,0,0,0,0,-0.00078564882
10,14,21,false,plain,-2,multihop,multihop-madrid-language,0.052631579,0.00068213214,0.82658665,0.00066929831,0.00068213214,-0.0026464462
10,14,21,false,plain,-2,multihop,multihop-sushi-currency,0.052631579,1.7376486e-05,0.010200829,1.6029943e-05,1.7376486e-05,-0.0011044145
10,14,21,false,plain,-2,syntactic,syntactic-alphabet,0,0,0,0,0,-0.00065392256
10,14,21,false,plain,-2,syntactic,syntactic-numbered-list,0,0,0,0,0,-0.00062918663
10,14,21,false,plain,-2,syntactic,syntactic-past-go,0,0,0,0,0,-0.00075185299
10,14,21,false,plain,-2,syntactic,syntactic-plural-child,0,0,0,0,0,-0.0006827116
10,14,21,false,plain,-2,syntactic,syntactic-roses-blue,0.052631579,9.1048751e-05,0.045657381,8.5123168e-05,9.1048751e-05,-0.0037848353
10,14,21,false,plain,-1,antonym,antonym-early-late,0,0,0,0,0,-0.0006377697
10,14,21,false,plain,-1,antonym,antonym-fast-slow,0.052631579,0.00018438237,0.083424063,0.0001954336,0.00018438237,-0.0010398626
10,14,21,false,plain,-1,antonym,antonym-north-south,0.052631579,0.00027048392,0.26350291,0.00026887139,0.00027048392,-0.0010151267
10,14,21,false,plain,-1,antonym,antonym-tall-short,0.052631579,0.00012715133,0.088024637,0.00012423443,0.00012715133,-0.0010425448
10,14,21,false,plain,-1,antonym,antonym-victory-defeat,0,0,0,0,0,-0.0011667013
10,14,21,false,plain,-1,association,association-birthday,0,0,0,0,0,-0.0021425486
10,14,21,false,plain,-1,association,association-desert,0.17647059,0.00028244434,0.47303832,0.0002676563,0.00028244434,-0.0045004487
10,14,21,false,plain,-1,association,association-doctor,0,0,0,0,0,-0.00060325861
10,14,21,false,plain,-1,association,association-storm,0.1875,0.00035379417,0.46452535,0.00031370157,0.00040728383,-0.0046351552
10,14,21,false,plain,-1,association,association-violin,0,0,0,0,0,-0.0019134879
10,14,21,false,plain,-1,counting,counting-colors-three,0,0,0,0,0,-0.0018771291
10,14,21,false,plain,-1,counting,counting-days-four,0,0,0,0,0,-0.0012548566
10,14,21,false,plain,-1,counting,counting-triangle-sides,0.052631579,0.00020960673,0.054073383,0.00016805788,0.00020960673,-0.0011624694
10,14,21,false,plain,-1,counting,counting-week-days,0,0,0,0,0,-0.0012165308
10,14,21,false,plain,-1,factual,factual-canberra,0.052631579,0.00012802383,0.30602575,0.00010303055,0,-0.0031191707
10,14,21,false,plain,-1,factual,factual-gold-symbol,0,0,0,0,0,-0.001318872
10,14,21,false,plain,-1,factual,factual-mercury,0.052631579,5.6929347e-05,0.035734443,5.4813247e-05,5.6929347e-05,-0.001613915
10,14,21,false,plain,-1,factual,factual-pacific,0,0,0,0,0,-0.0037384629
10,14,21,false,plain,-1,factual,factual-photosynthesis,0,0,0,0,0,-0.0012113452
10,14,21,false,plain,-1,factual,factual-shakespeare,0.11111111,0.00018130081,0.042969751,0.00016279795,0.00021742334,-0.0038666129
10,14,21,false,plain,-1,multihop,multihop-cairo-continent,0.052631579,0.00020107206,0.21513998,0.00020237636,0.00020107206,-0.0007366538
10,14,21,false,plain,-1,multihop,multihop-eiffel-capital,0.052631579,8.1112789e-05,0.087764156,8.3298302e-05,8.1112789e-05,-0.0016034245
10,14,21,false,plain,-1,multihop,multihop-kangaroo-hemisphere,0,0,0,0,0,-0.00097483397
10,14,21,false,plain,-1,multihop,multihop-madrid-language,0,0,0,0,0,-0.0012344718
10,14,21,false,plain,-1,multihop,multihop-sushi-currency,0.052631579,0.00022498039,0.43182712,0.00020205179,0.00022498039,-0.0037065744
10,14,21,false,plain,-1,syntactic,syntactic-alphabet,0,0,0,0,0,-0.00074058771
10,14,21,false,plain,-1,syntactic,syntactic-numbered-list,0,0,0,0,0,-0.0029700398
10,14,21,false,plain,-1,syntactic,syntactic-past-go,0.052631579,0.0003073112,0.13168481,0.00022836132,0.0003073112,-0.00087571144
10,14,21,false,plain,-1,syntactic,syntactic-plural-child,0.052631579,0.00045466204,0.33166227,0.00034598017,0.00045466204,-0.0010245442
10,14,21,false,plain,-1,syntactic,syntactic-roses-blue,0,0,0,0,0,-0.0021742582
10,21,28,false,chat,-2,antonym,chat-antonym-early,0,0,0,0,0,0.0037497282
10,21,28,false,chat,-2,antonym,chat-antonym-north,0,0,0,0,0,0.0031374693
10,21,28,false,chat,-2,association,chat-association-desert,0,0,0,0,0,0.0036450028
10,21,28,false,chat,-2,counting,chat-counting-triangle,0,0,0,0,0,0.0043371916
10,21,28,false,chat,-2,factual,chat-factual-canberra,0,0,0,0,0,0.0032539368
10,21,28,false,chat,-2,factual,chat-factual-gold,0,0,0,0,0,0.0035390854
10,21,28,false,chat,-2,multihop,chat-multihop-sushi-currency,0,0,0,0,0,0.0035170317
10,21,28,false,chat,-2,syntactic,chat-syntactic-plural-child,0,0,0,0,0,0.003749609
10,21,28,false,chat,-1,antonym,chat-antonym-early,0,0,0,0,0,0.0044859648
10,21,28,false,chat,-1,antonym,chat-antonym-north,0,0,0,0,0,0.0041523576
10,21,28,false,chat,-1,association,chat-association-desert,0,0,0,0,0,0.0041994452
10,21,28,false,chat,-1,counting,chat-counting-triangle,0,0,0,0,0,0.00571841
10,21,28,false,chat,-1,factual,chat-factual-canberra,0.052631579,9.5763831e-05,0.047353481,6.980381e-05,9.5763831e-05,0.0049700737
10,21,28,false,chat,-1,factual,chat-factual-gold,0,0,0,0,0,0.0043903589
10,21,28,false,chat,-1,multihop,chat-multihop-sushi-currency,0,0,0,0,0,0.0044554472
10,21,28,false,chat,-1,syntactic,chat-syntactic-plural-child,0,0,0,0,0,0.0045049191
10,21,28,false,plain,-2,antonym,antonym-early-late,0,0,0,0,0,0.0083526373
10,21,28,false,plain,-2,antonym,antonym-fast-slow,0,0,0,0,0,0.0054786801
10,21,28,false,plain,-2,antonym,antonym-north-south,0,0,0,0,0,0.0055048466
10,21,28,false,plain,-2,antonym,antonym-tall-short,0,0,0,0,0,0.0057628751
10,21,28,false,plain,-2,antonym,antonym-victory-defeat,0,0,0,0,0,0.0064073205
10,21,28,false,plain,-2,association,association-birthday,0,0,0,0,0,0.0060021877
10,21,28,false,plain,-2,association,association-desert,0,0,0,0,0,0.0092756152
10,21,28,false,plain,-2,association,association-doctor,0,0,0,0,0,0.0087820292
10,21,28,false,plain,-2,association,association-storm,0,0,0,0,0,0.0066850185
10,21,28,false,plain,-2,association,association-violin,0,0,0,0,0,0.0081195235
10,21,28,false,plain,-2,counting,counting-colors-three,0,0,0,0,0,0.0068711638
10,21,28,false,plain,-2,counting,counting-days-four,0,0,0,0,0,0.0088427067
10,21,28,false,plain,-2,counting,counting-triangle-sides,0,0,0,0,0,0.0077020526
10,21,28,false,plain,-2,counting,counting-week-days,0,0,0,0,0,0.0075663328
10,21,28,false,plain,-2,factual,factual-canberra,0.052631579,0.00010027241,0.054338041,7.9664713e-05,0.00010027241,0.0079456568
10,21,28,false,plain,-2,factual,factual-gold-symbol,0,0,0,0,0,0.0056601167
10,21,28,false,plain,-2,factual,factual-mercury,0,0,0,0,0,0.0078419447
10,21,28,false,plain,-2,factual,factual-pacific,0,0,0,0,0,0.0073632002
10,21,28,false,plain,-2,factual,factual-photosynthesis,0,0,0,0,0,0.010813832
10,21,28,false,plain,-2,factual,factual-shakespeare,0.11111111,0.00021059491,0.21995217,0.00020292921,0.00021059491,0.011122286
10,21,28,false,plain,-2,multihop,multihop-cairo-continent,0,0,0,0,0,0.0081666708
10,21,28,false,plain,-2,multihop,multihop-eiffel-capital,0,0,0,0,0,0.007535398
10,21,28,false,plain,-2,multihop,multihop-kangaroo-hemisphere,0,0,0,0,0,0.0067912936
10,21,28,false,plain,-2,multihop,multihop-madrid-language,0,0,0,0,0,0.0073920488
10,21,28,false,plain,-2,multihop,multihop-sushi-currency,0,0,0,0,0,0.0065720081
10,21,28,false,plain,-2,syntactic,syntactic-alphabet,0,0,0,0,0,0.0075988173
10,21,28,false,plain,-2,syntactic,syntactic-numbered-list,0,0,0,0,0,0.0057303309
10,21,28,false,plain,-2,syntactic,syntactic-past-go,0,0,0,0,0,0.008610189
10,21,28,false,plain,-2,syntactic,syntactic-plural-child,0,0,0,0,0,0.0077640414
10,21,28,false,plain,-2,syntactic,syntactic-roses-blue,0,0,0,0,0,0.0055390596
10,21,28,false,plain,-1,antonym,antonym-early-late,0,0,0,0,0,0.0089840889
10,21,28,false,plain,-1,antonym,antonym-fast-slow,0.052631579,9.1143985e-05,0.19938707,6.1109002e-05,9.1143985e-05,0.012595057
10,21,28,false,plain,-1,antonym,antonym-north-south,0.052631579,0.00017483733,0.22008875,0.00015773426,0.00017483733,0.010668218
10,21,28,false,plain,-1,antonym,antonym-tall-short,0,0,0,0,0,0.01063323
10,21,28,false,plain,-1,antonym,antonym-victory-defeat,0.052631579,7.7439278e-05,0.085968935,4.774638e-05,7.7446365e-05,0.0132882
10,21,28,false,plain,-1,association,association-birthday,0,0,0,0,0,0.0089108944
10,21,28,false,plain,-1,association,association-desert,0,0,0,0,0,0.0074227452
10,21,28,false,plain,-1,association,association-doctor,0,0,0,0,0,0.0066407323
10,21,28,false,plain,-1,association,association-storm,0.055555556,8.1537129e-05,0.0077373416,7.6244268e-05,0.00012925758,0.005687654
10,21,28,false,plain,-1,association,association-violin,0,0,0,0,0,0.0094715953
10,21,28,false,plain,-1,counting,counting-colors-three,0,0,0,0,0,0.009175539
10,21,28,false,plain,-1,counting,counting-days-four,0,0,0,0,0,0.0085632205
10,21,28,false,plain,-1,counting,counting-triangle-sides,0,0,0,0,0,0.010758817
10,21,28,false,plain,-1,counting,counting-week-days,0,0,0,0,0,0.0093838573
10,21,28,false,plain,-1,factual,factual-canberra,0,0,0,0,0,0.0091376901
10,21,28,false,plain,-1,factual,factual-gold-symbol,0,0,0,0,0,0.0088322759
10,21,28,false,plain,-1,factual,factual-mercury,0,0,0,0,0,0.0094416738
10,21,28,false,plain,-1,factual,factual-pacific,0,0,0,0,0,0.0083169341
10,21,28,false,plain,-1,factual,factual-photosynthesis,0,0,0,0,0,0.0095534921
10,21,28,false,plain,-1,factual,factual-shakespeare,0,0,0,0,0,0.008885622
10,21,28,false,plain,-1,multihop,multihop-cairo-continent,0,0,0,0,0,0.006477952
10,21,28,false,plain,-1,multihop,multihop-eiffel-capital,0,0,0,0,0,0.0075896978
10,21,28,false,plain,-1,multihop,multihop-kangaroo-hemisphere,0,0,0,0,0,0.0092599988
10,21,28,false,plain,-1,multihop,multihop-madrid-language,0,0,0,0,0,0.0069434643
10,21,28,false,plain,-1,multihop,multihop-sushi-currency,0.052631579,0.0001902502,0.041643431,0.00016555206,0.0001902502,0.0094946623
10,21,28,false,plain,-1,syntactic,syntactic-alphabet,0,0,0,0,0,0.0071591735
10,21,28,false,plain,-1,syntactic,syntactic-numbered-list,0.052631579,0.00021239392,0.52434733,0.00021818574,0.00021239392,0.007643044
10,21,28,false,plain,-1,syntactic,syntactic-past-go,0,0,0,0,0,0.008233726
10,21,28,false,plain,-1,syntactic,syntactic-plural-child,0,0,0,0,0,0.007909894
10,21,28,false,plain,-1,syntactic,syntactic-roses-blue,0,0,0,0,0,0.0061695576
10,28,35,false,chat,-2,antonym,chat-antonym-early,0,0,0,0,0,0.015773177
10,28,35,false,chat,-2,antonym,chat-antonym-north,0,0,0,0,0,0.011327684
10,28,35,false,chat,-2,association,chat-association-desert,0.052631579,0.010048947,0.011114578,0.0083820282,0.010048947,0.017236769
10,28,35,false,chat,-2,counting,chat-counting-triangle,0.052631579,0.035007731,0.1436172,0.034085644,0.035007731,0.0051433444
10,28,35,false,chat,-2,factual,chat-factual-canberra,0,0,0,0,0,0.021282017
10,28,35,false,chat,-2,factual,chat-factual-gold,0,0,0,0,0,0.0088577271
10,28,35,false,chat,-2,multihop,chat-multihop-sushi-currency,0,0,0,0,0,0.0084265471
10,28,35,false,chat,-2,syntactic,chat-syntactic-plural-child,0,0,0,0,0,0.010060668
10,28,35,false,chat,-1,antonym,chat-antonym-early,0,0,0,0,0,0.01328665
10,28,35,false,chat,-1,antonym,chat-antonym-north,0,0,0,0,0,0.0061853528
10,28,35,false,chat,-1,association,chat-association-desert,0,0,0,0,0,0.011229813
10,28,35,false,chat,-1,counting,chat-counting-triangle,0.052631579,0.049567231,0.14818722,0.045276893,0.049567231,0.0010106564
10,28,35,false,chat,-1,factual,chat-factual-canberra,0,0,0,0,0,0.015566826
10,28,35,false,chat,-1,factual,chat-factual-gold,0,0,0,0,0,0.0082964897
10,28,35,false,chat,-1,multihop,chat-multihop-sushi-currency,0,0,0,0,0,0.004829824
10,28,35,false,chat,-1,syntactic,chat-syntactic-plural-child,0,0,0,0,0,0.0061742663
10,28,35,false,plain,-2,antonym,antonym-early-late,0,0,0,0,0,0.0071502924
10,28,35,false,plain,-2,antonym,antonym-fast-slow,0,0,0,0,0,0.008394897
10,28,35,false,plain,-2,antonym,antonym-north-south,0,0,0,0,0,0.010174453
10,28,35,false,plain,-2,antonym,antonym-tall-short,0,0,0,0,0,0.0096600652
10,28,35,false,plain,-2,antonym,antonym-victory-defeat,0.052631579,0.050515995,0.064161655,0.047512684,0.063798522,0.0099478364
10,28,35,false,plain,-2,association,association-birthday,0,0,0,0,0,0.010079205
10,28,35,false,plain,-2,association,association-desert,0,0,0,0,0,0.013102114
10,28,35,false,plain,-2,association,association-doctor,0,0,0,0,0,0.013692796
10,28,35,false,plain,-2,association,association-storm,0,0,0,0,0,0.019676447
10,28,35,false,plain,-2,association,association-violin,0.052631579,0.015607896,0.028469377,0.012406138,0.016582642,0.0067303181
10,28,35,false,plain,-2,counting,counting-colors-three,0,0,0,0,0,0.013132751
10,28,35,false,plain,-2,counting,counting-days-four,0,0,0,0,0,0.013320684
10,28,35,false,plain,-2,counting,counting-triangle-sides,0,0,0,0,0,0.011799335
10,28,35,false,plain,-2,counting,counting-week-days,0,0,0,0,0,0.011826098
10,28,35,false,plain,-2,factual,factual-canberra,0,0,0,0,0,0.011878014
10,28,35,false,plain,-2,factual,factual-gold-symbol,0.052631579,0.057998808,0.10104259,0.052802068,0.07776533,0.0097288489
10,28,35,false,plain,-2,factual,factual-mercury,0,0,0,0,0,0.011146903
10,28,35,false,plain,-2,factual,factual-pacific,0,0,0,0,0,0.0057826638
