layer,format,k_small,k_large,n,mean_containment,mean_jaccard,mean_weighted_jaccard,mean_cosine,mean_shared_atom_rank_correlation,mean_output_token_persistence,mean_top_atom_persistence,mean_top_atom_still_top
14,all,10,16,76,0.97748538,0.61014254,0.65749613,0.92215277,0.73906926,1,1,0.80263158
14,all,10,25,76,0.94853801,0.40049284,0.51605849,0.84942664,0.6092504,1,1,0.76315789
14,all,16,25,76,0.98097588,0.65893048,0.75573387,0.96219253,0.85185844,1,1,0.96052632
14,plain,10,16,60,0.97481481,0.60826389,0.65353489,0.92040415,0.74693723,1,1,0.8
14,plain,10,25,60,0.94314815,0.3842569,0.49797248,0.84246054,0.61179293,1,1,0.75
14,plain,16,25,60,0.97902778,0.63464159,0.73127293,0.95756501,0.83258161,1,1,0.95
14,chat,10,16,16,0.9875,0.6171875,0.67235079,0.92871012,0.70956439,,1,0.8125
14,chat,10,25,16,0.96875,0.46137762,0.58388103,0.87554949,0.59971591,,1,0.8125
14,chat,16,25,16,0.98828125,0.75001382,0.8474624,0.97954572,0.92414653,,1,1
21,all,10,16,76,0.98289474,0.61332237,0.63308959,0.90595,0.73094384,1,1,0.71052632
21,all,10,25,76,0.95,0.3844296,0.45234741,0.80420022,0.60573878,1,1,0.60526316
21,all,16,25,76,0.97686404,0.62963034,0.68576397,0.9333076,0.78558415,1,1,0.77631579
21,plain,10,16,60,0.98,0.61166667,0.60694099,0.8905699,0.69621573,1,1,0.7
21,plain,10,25,60,0.945,0.37962338,0.41653545,0.77387647,0.54984488,1,1,0.58333333
21,plain,16,25,60,0.97694444,0.62524233,0.66053874,0.92184174,0.75671192,1,1,0.73333333
21,chat,10,16,16,0.99375,0.61953125,0.73114687,0.96362541,0.86117424,,1,0.75
21,chat,10,25,16,0.96875,0.40245295,0.58664229,0.9179143,0.81534091,,1,0.6875
21,chat,16,25,16,0.9765625,0.64608537,0.7803586,0.9763046,0.89385504,,1,0.9375
28,all,10,16,76,0.98157895,0.61398026,0.68133057,0.94219943,0.78112041,1,1,0.71052632
28,all,10,25,76,0.94078947,0.38060753,0.50123382,0.84814117,0.58377193,1,1,0.63157895
28,all,16,25,76,0.97335526,0.62657952,0.7275038,0.9590249,0.82718696,1,1,0.84210526
28,plain,10,16,60,0.98,0.613125,0.68239475,0.94217423,0.77477273,1,1,0.7
28,plain,10,25,60,0.935,0.37723276,0.4989986,0.84560513,0.58575758,1,1,0.63333333
28,plain,16,25,60,0.97041667,0.6224462,0.72212752,0.95666564,0.81067281,1,1,0.86666667
28,chat,10,16,16,0.9875,0.6171875,0.67733989,0.94229392,0.80492424,,1,0.75
28,chat,10,25,16,0.9625,0.39326293,0.50961587,0.85765136,0.57632576,,1,0.625
28,chat,16,25,16,0.984375,0.64207945,0.74766488,0.96787209,0.88911502,,1,0.75
35,all,10,16,76,0.99736842,0.62335526,0.67703901,0.94406126,0.86008772,1,1,0.94736842
35,all,10,25,76,0.98947368,0.39578947,0.51631905,0.9027503,0.7986244,1,1,0.90789474
35,all,16,25,76,0.99506579,0.63644737,0.72080628,0.96338227,0.88645787,1,1,0.96052632
35,plain,10,16,60,0.99833333,0.62395833,0.67791743,0.94311689,0.85439394,1,1,0.93333333
35,plain,10,25,60,0.99333333,0.39733333,0.51813167,0.90633673,0.79116162,1,1,0.91666667
35,plain,16,25,60,0.996875,0.63775,0.72009682,0.96370879,0.8914881,1,1,0.98333333
35,chat,10,16,16,0.99375,0.62109375,0.67374495,0.94760265,0.88143939,1,1,1
35,chat,10,25,16,0.975,0.39,0.50952173,0.88930115,0.82660985,1,1,0.875
35,chat,16,25,16,0.98828125,0.6315625,0.72346674,0.96215783,0.86759454,1,1,0.875
38,all,10,16,76,0.99473684,0.62171053,0.71595608,0.9621173,0.85518341,1,1,0.96052632
38,all,10,25,76,0.99210526,0.40024123,0.5824594,0.94014355,0.78263557,1,1,0.94736842
38,all,16,25,76,0.99835526,0.64359649,0.7683111,0.9785203,0.90733359,1,1,0.98684211
38,plain,10,16,60,0.995,0.621875,0.70937191,0.95920484,0.86186869,1,1,0.98333333
38,plain,10,25,60,0.99166667,0.39666667,0.56869571,0.93597355,0.78666667,1,1,0.96666667
38,plain,16,25,60,0.99791667,0.63791667,0.75453056,0.97596038,0.90313025,1,1,0.98333333
38,chat,10,16,16,0.99375,0.62109375,0.74064673,0.97303902,0.83011364,1,1,0.875
38,chat,10,25,16,0.99375,0.41364583,0.63407321,0.95578104,0.76751894,1,1,0.875
38,chat,16,25,16,1,0.66489583,0.81998811,0.98811998,0.92309611,1,1,1
