layer,format,category,position,variant,n_ranks,median_rank,mean_reciprocal_rank,hit_rate@1,hit_rate@5,hit_rate@10,mean_topk_overlap
14,all,all,all,jlens,76,14326,0.047331128,0.039473684,0.065789474,0.065789474,0.023684211
14,all,all,all,logit_lens,76,94214,0.00019929376,0,0,0,0
14,all,all,all,permuted,76,120866,0.00011054569,0,0,0,0
14,all,all,all,random,76,72604,3.2718463e-05,0,0,0,0
14,all,all,all,adjacent_layer,76,16504,0.040755708,0.026315789,0.052631579,0.065789474,0.027631579
14,all,all,all,distant_layer,76,143613,0.00012231805,0,0,0,0
14,all,all,all,shuffled_layer,76,143613,0.00012231805,0,0,0,0
14,chat,all,all,jlens,16,24992.5,4.454116e-05,0,0,0,0.00625
14,chat,all,all,logit_lens,16,85992.5,2.6189127e-05,0,0,0,0
14,chat,all,all,permuted,16,129627.5,1.3332956e-05,0,0,0,0
14,chat,all,all,random,16,141035.5,2.4988567e-05,0,0,0,0
14,chat,all,all,adjacent_layer,16,54858,4.144488e-05,0,0,0,0
14,chat,all,all,distant_layer,16,105788.5,0.00017805114,0,0,0,0
14,chat,all,all,shuffled_layer,16,105788.5,0.00017805114,0,0,0,0
14,plain,all,all,jlens,60,5917.5,0.059940885,0.05,0.083333333,0.083333333,0.028333333
14,plain,all,all,logit_lens,60,94214,0.00024545499,0,0,0,0
14,plain,all,all,permuted,60,115233,0.00013646908,0,0,0,0
14,plain,all,all,random,60,61539.5,3.4779769e-05,0,0,0,0
14,plain,all,all,adjacent_layer,60,9200,0.051612845,0.033333333,0.066666667,0.083333333,0.035
14,plain,all,all,distant_layer,60,148214.5,0.00010745589,0,0,0,0
14,plain,all,all,shuffled_layer,60,148214.5,0.00010745589,0,0,0,0
14,all,antonym,all,jlens,14,48721.5,0.00053781002,0,0,0,0.0071428571
14,all,antonym,all,logit_lens,14,138185,1.0495335e-05,0,0,0,0
14,all,antonym,all,permuted,14,98933,1.2267189e-05,0,0,0,0
14,all,antonym,all,random,14,90033.5,2.5208158e-05,0,0,0,0
14,all,antonym,all,adjacent_layer,14,40873.5,0.00059251192,0,0,0,0.014285714
14,all,antonym,all,distant_layer,14,150913.5,8.7389738e-06,0,0,0,0
14,all,antonym,all,shuffled_layer,14,150913.5,8.7389738e-06,0,0,0,0
14,all,association,all,jlens,12,3953,0.037921273,0,0.16666667,0.16666667,0.066666667
14,all,association,all,logit_lens,12,97259,0.0011680091,0,0,0,0
14,all,association,all,permuted,12,79512,2.1116501e-05,0,0,0,0
14,all,association,all,random,12,57598,4.8885548e-05,0,0,0,0
14,all,association,all,adjacent_layer,12,7500,0.030997247,0,0.083333333,0.16666667,0.075
14,all,association,all,distant_layer,12,122020,0.00050238859,0,0,0,0
14,all,association,all,shuffled_layer,12,122020,0.00050238859,0,0,0,0
14,all,counting,all,jlens,10,4771,0.00025965007,0,0,0,0.01
14,all,counting,all,logit_lens,10,58847.5,1.8563067e-05,0,0,0,0
14,all,counting,all,permuted,10,93245,1.4826673e-05,0,0,0,0
14,all,counting,all,random,10,85800.5,2.1558486e-05,0,0,0,0
14,all,counting,all,adjacent_layer,10,15684.5,0.0001050554,0,0,0,0.01
14,all,counting,all,distant_layer,10,92627.5,1.1383917e-05,0,0,0,0
14,all,counting,all,shuffled_layer,10,92627.5,1.1383917e-05,0,0,0,0
14,all,factual,all,jlens,16,14575.5,0.12753436,0.125,0.125,0.125,0.03125
14,all,factual,all,logit_lens,16,86906,3.4908366e-05,0,0,0,0
14,all,factual,all,permuted,16,176133.5,0.00040899054,0,0,0,0
14,all,factual,all,random,16,110414.5,2.3497082e-05,0,0,0,0
14,all,factual,all,adjacent_layer,16,9994.5,0.1303316,0.125,0.125,0.125,0.03125
14,all,factual,all,distant_layer,16,145437.5,0.0001775865,0,0,0,0
14,all,factual,all,shuffled_layer,16,145437.5,0.0001775865,0,0,0,0
14,all,multihop,all,jlens,12,11703,0.089598167,0.083333333,0.083333333,0.083333333,0.016666667
14,all,multihop,all,logit_lens,12,133861.5,1.0351097e-05,0,0,0,0
14,all,multihop,all,permuted,12,114482,3.5374274e-05,0,0,0,0
14,all,multihop,all,random,12,84556,3.3776808e-05,0,0,0,0
14,all,multihop,all,adjacent_layer,12,10988,0.051517151,0,0.083333333,0.083333333,0.025
14,all,multihop,all,distant_layer,12,143613,7.2182063e-06,0,0,0,0
14,all,multihop,all,shuffled_layer,12,143613,7.2182063e-06,0,0,0,0
14,all,syntactic,all,jlens,12,17622.5,0.0013547367,0,0,0,0.0083333333
14,all,syntactic,all,logit_lens,12,109516,9.5753118e-06,0,0,0,0
14,all,syntactic,all,permuted,12,140230.5,7.164391e-05,0,0,0,0
14,all,syntactic,all,random,12,86029.5,4.5850214e-05,0,0,0,0
14,all,syntactic,all,adjacent_layer,12,25871,0.001050809,0,0,0,0.0083333333
14,all,syntactic,all,distant_layer,12,188191.5,8.6101264e-06,0,0,0,0
14,all,syntactic,all,shuffled_layer,12,188191.5,8.6101264e-06,0,0,0,0
14,all,all,-2,jlens,38,22484,0.0007351308,0,0,0,
14,all,all,-2,logit_lens,38,86348,0.00038389272,0,0,0,
14,all,all,-2,permuted,38,120866,1.8807871e-05,0,0,0,
14,all,all,-2,random,38,44746,4.8529115e-05,0,0,0,
14,all,all,-2,adjacent_layer,38,33119,0.00033518673,0,0,0,
14,all,all,-2,distant_layer,38,140678.5,0.00023232105,0,0,0,
14,all,all,-2,shuffled_layer,38,140678.5,0.00023232105,0,0,0,
14,all,all,-1,jlens,38,2979,0.093927126,0.078947368,0.13157895,0.13157895,
14,all,all,-1,logit_lens,38,132523,1.4694796e-05,0,0,0,
14,all,all,-1,permuted,38,117183.5,0.0002022835,0,0,0,
14,all,all,-1,random,38,118493,1.6907812e-05,0,0,0,
14,all,all,-1,adjacent_layer,38,4239.5,0.081176229,0.052631579,0.10526316,0.13157895,
14,all,all,-1,distant_layer,38,147433.5,1.2315056e-05,0,0,0,
14,all,all,-1,shuffled_layer,38,147433.5,1.2315056e-05,0,0,0,
14,chat,all,-2,jlens,8,97542.5,2.3343668e-05,0,0,0,
14,chat,all,-2,logit_lens,8,142006.5,3.6144096e-05,0,0,0,
14,chat,all,-2,permuted,8,178476,7.8858769e-06,0,0,0,
14,chat,all,-2,random,8,122149.5,4.2457751e-05,0,0,0,
14,chat,all,-2,adjacent_layer,8,127675.5,4.2219356e-05,0,0,0,
14,chat,all,-2,distant_layer,8,73749.5,0.00034602419,0,0,0,
14,chat,all,-2,shuffled_layer,8,73749.5,0.00034602419,0,0,0,
14,chat,all,-1,jlens,8,21187.5,6.5738652e-05,0,0,0,
14,chat,all,-1,logit_lens,8,58198.5,1.6234157e-05,0,0,0,
14,chat,all,-1,permuted,8,77755,1.8780034e-05,0,0,0,
14,chat,all,-1,random,8,191279,7.5193842e-06,0,0,0,
14,chat,all,-1,adjacent_layer,8,43762,4.0670404e-05,0,0,0,
14,chat,all,-1,distant_layer,8,127080.5,1.007809e-05,0,0,0,
14,chat,all,-1,shuffled_layer,8,127080.5,1.007809e-05,0,0,0,
14,plain,all,-2,jlens,30,19090,0.00092494071,0,0,0,
14,plain,all,-2,logit_lens,30,83960.5,0.00047662569,0,0,0,
14,plain,all,-2,permuted,30,103856.5,2.1720403e-05,0,0,0,
14,plain,all,-2,random,30,36759.5,5.0148145e-05,0,0,0,
14,plain,all,-2,adjacent_layer,30,29464.5,0.00041331136,0,0,0,
14,plain,all,-2,distant_layer,30,146262.5,0.00020200021,0,0,0,
14,plain,all,-2,shuffled_layer,30,146262.5,0.00020200021,0,0,0,
14,plain,all,-1,jlens,30,1469.5,0.11895683,0.1,0.16666667,0.16666667,
14,plain,all,-1,logit_lens,30,141395,1.4284299e-05,0,0,0,
14,plain,all,-1,permuted,30,135416.5,0.00025121776,0,0,0,
14,plain,all,-1,random,30,100944.5,1.9411393e-05,0,0,0,
14,plain,all,-1,adjacent_layer,30,839.5,0.10281238,0.066666667,0.13333333,0.16666667,
14,plain,all,-1,distant_layer,30,151542.5,1.291158e-05,0,0,0,
14,plain,all,-1,shuffled_layer,30,151542.5,1.291158e-05,0,0,0,
21,all,all,all,jlens,76,6693,0.04590806,0.026315789,0.078947368,0.078947368,0.027631579
21,all,all,all,logit_lens,76,127119,1.4806734e-05,0,0,0,0
21,all,all,all,permuted,76,163635,2.1347668e-05,0,0,0,0
21,all,all,all,random,76,201679.5,9.8497717e-06,0,0,0,0
21,all,all,all,adjacent_layer,76,136414,0.013836369,0.013157895,0.013157895,0.013157895,0.027631579
21,all,all,all,distant_layer,76,155689.5,0.00041008885,0,0,0,0
21,all,all,all,shuffled_layer,76,146836,5.6925686e-05,0,0,0,0.0013157895
21,chat,all,all,jlens,16,77240,3.4599565e-05,0,0,0,0.0125
21,chat,all,all,logit_lens,16,146400.5,2.2800419e-05,0,0,0,0
21,chat,all,all,permuted,16,58465.5,6.3460885e-05,0,0,0,0
21,chat,all,all,random,16,68032,1.979772e-05,0,0,0,0
21,chat,all,all,adjacent_layer,16,188116,8.8884028e-06,0,0,0,0.03125
21,chat,all,all,distant_layer,16,160113,2.055374e-05,0,0,0,0
21,chat,all,all,shuffled_layer,16,177928,7.5928036e-06,0,0,0,0
21,plain,all,all,jlens,60,1824,0.058140983,0.033333333,0.1,0.1,0.031666667
21,plain,all,all,logit_lens,60,124394,1.2675085e-05,0,0,0,0
21,plain,all,all,permuted,60,169106,1.0117477e-05,0,0,0,0
21,plain,all,all,random,60,218757,7.1969855e-06,0,0,0,0
21,plain,all,all,adjacent_layer,60,72212.5,0.017523697,0.016666667,0.016666667,0.016666667,0.026666667
21,plain,all,all,distant_layer,60,155689.5,0.00051396488,0,0,0,0
21,plain,all,all,shuffled_layer,60,136630.5,7.0081122e-05,0,0,0,0.0016666667
21,all,antonym,all,jlens,14,64955,0.071466428,0.071428571,0.071428571,0.071428571,0.021428571
21,all,antonym,all,logit_lens,14,97729.5,1.6766562e-05,0,0,0,0
21,all,antonym,all,permuted,14,206529,4.3497469e-05,0,0,0,0
21,all,antonym,all,random,14,244507,1.1446202e-05,0,0,0,0
21,all,antonym,all,adjacent_layer,14,34553.5,5.5093773e-05,0,0,0,0.014285714
21,all,antonym,all,distant_layer,14,173285,7.203017e-06,0,0,0,0
21,all,antonym,all,shuffled_layer,14,139482,1.1730813e-05,0,0,0,0
21,all,association,all,jlens,12,692.5,0.052808021,0,0.16666667,0.16666667,0.058333333
21,all,association,all,logit_lens,12,110334,1.3800802e-05,0,0,0,0
21,all,association,all,permuted,12,170147,5.9563709e-06,0,0,0,0
