layer,format,k_from,k_to,n,mean_delta_explained_fraction,median_delta_explained_fraction,mean_relative_gain_explained_fraction,mean_delta_residual_norm,mean_relative_change_residual_norm,fraction_improved
14,all,10,16,76,6.8598672e-05,5.5611134e-05,0.040906197,-0.0046716991,-3.4377934e-05,1
14,all,10,25,76,9.6467765e-05,7.084012e-05,0.056034404,-0.0065664994,-4.8346533e-05,1
14,all,16,25,76,2.7869093e-05,1.9282103e-05,0.014347945,-0.0018948003,-1.3969428e-05,1
14,plain,10,16,60,8.015732e-05,6.2137842e-05,0.044723039,-0.0055130005,-4.0173616e-05,1
14,plain,10,25,60,0.00011398097,8.2552433e-05,0.062528234,-0.0078263601,-5.7129081e-05,1
14,plain,16,25,60,3.3823649e-05,2.3394823e-05,0.016867305,-0.0023133596,-1.6956498e-05,1
14,chat,10,16,16,2.5253743e-05,1.6003847e-05,0.026593038,-0.001516819,-1.2644124e-05,1
14,chat,10,25,16,3.079325e-05,1.7046928e-05,0.031682541,-0.0018420219,-1.5411976e-05,1
14,chat,16,25,16,5.5395067e-06,1.0430813e-06,0.0049003482,-0.00032520294,-2.767916e-06,1
21,all,10,16,76,1.1168028e-06,1.0728836e-06,0.052331649,-5.15988e-05,-5.5736117e-07,1
21,all,10,25,76,1.6305007e-06,1.6391277e-06,0.076555934,-7.5992785e-05,-8.1879423e-07,1
21,all,16,25,76,5.1369793e-07,4.7683716e-07,0.022779171,-2.4393985e-05,-2.6143324e-07,0.94736842
21,plain,10,16,60,1.1891127e-06,1.0728836e-06,0.058939556,-5.5821737e-05,-5.9460134e-07,1
21,plain,10,25,60,1.741449e-06,1.6689301e-06,0.086624918,-8.2397461e-05,-8.7535516e-07,1
21,plain,16,25,60,5.5233637e-07,5.364418e-07,0.025950223,-2.6575724e-05,-2.8075401e-07,0.98333333
21,chat,10,16,16,8.456409e-07,6.2584877e-07,0.027552,-3.5762787e-05,-4.1771054e-07,1
21,chat,10,25,16,1.2144446e-06,1.0728836e-06,0.038797245,-5.197525e-05,-6.0669077e-07,1
21,chat,16,25,16,3.6880374e-07,3.2782555e-07,0.010887727,-1.6212463e-05,-1.8898034e-07,0.8125
28,all,10,16,76,0.0004669969,0.00041630864,0.064922342,-0.028563248,-0.00023539491,1
28,all,10,25,76,0.00076103446,0.00064283609,0.10494309,-0.046537098,-0.00038365604,1
28,all,16,25,76,0.00029403756,0.00024235249,0.037198822,-0.01797385,-0.00014830602,1
28,plain,10,16,60,0.00051369965,0.00047874451,0.063480996,-0.031703949,-0.00025908372,1
28,plain,10,25,60,0.00084472497,0.00077787042,0.10433871,-0.052105204,-0.00042607574,1
28,plain,16,25,60,0.00033102532,0.00029450655,0.037971439,-0.020401255,-0.00016704547,1
28,chat,10,16,16,0.00029186159,0.00027900934,0.070327388,-0.016785622,-0.00014656186,1
28,chat,10,25,16,0.00044719502,0.00042417645,0.10720952,-0.0256567,-0.00022458219,1
28,chat,16,25,16,0.00015533343,0.00013366342,0.034301509,-0.0088710785,-7.8033095e-05,1
35,all,10,16,76,0.00067200865,0.00059616566,0.04139698,-0.064066837,-0.00034204522,1
35,all,10,25,76,0.0010324277,0.00086164474,0.063667283,-0.098481228,-0.0005255493,1
35,all,16,25,76,0.00036041909,0.00030058622,0.02112276,-0.034414392,-0.00018358934,1
35,plain,10,16,60,0.00074344774,0.00064623356,0.044554379,-0.070872752,-0.00037854184,1
35,plain,10,25,60,0.0011465798,0.0010325611,0.0687266,-0.10939102,-0.00058387887,1
35,plain,16,25,60,0.00040313204,0.00032711029,0.022859355,-0.03851827,-0.0002054385,1
35,chat,10,16,16,0.00040411204,0.00038257241,0.029556735,-0.038544655,-0.0002051829,1
35,chat,10,25,16,0.00060435757,0.00058412552,0.044694845,-0.057569504,-0.00030681344,1
35,chat,16,25,16,0.00020024553,0.00018653274,0.014610527,-0.019024849,-0.00010165497,1
38,all,10,16,76,0.00045173184,0.00034445524,0.030617844,-0.038347545,-0.00022966049,1
38,all,10,25,76,0.00067715817,0.00051927567,0.045427605,-0.05739975,-0.00034435572,1
38,all,16,25,76,0.00022542634,0.0001642108,0.014191882,-0.019052204,-0.00011473616,1
38,plain,10,16,60,0.00051652988,0.00044670701,0.033373166,-0.04384257,-0.000262756,1
38,plain,10,25,60,0.00078280568,0.00064399838,0.050257583,-0.066355642,-0.00039829193,1
38,plain,16,25,60,0.0002662758,0.00020006299,0.016156753,-0.022513072,-0.00013558623,1
38,chat,10,16,16,0.00020873919,0.00018417835,0.020285384,-0.017741203,-0.00010555231,1
38,chat,10,25,16,0.00028098002,0.00023686886,0.027315189,-0.023815155,-0.00014209494,1
38,chat,16,25,16,7.2240829e-05,5.5640936e-05,0.0068236142,-0.0060739517,-3.6548377e-05,1
