layer,k,format,category,position,n,explained_fraction_mean,explained_fraction_median,explained_fraction_std,explained_fraction_q1,explained_fraction_q3,relative_residual_mean,relative_residual_median,relative_residual_std,relative_residual_q1,relative_residual_q3,target_norm_mean,target_norm_median,target_norm_std,target_norm_q1,target_norm_q3,residual_norm_mean,residual_norm_median,residual_norm_std,residual_norm_q1,residual_norm_q3,coefficient_sum_mean,coefficient_sum_median,coefficient_sum_std,coefficient_sum_q1,coefficient_sum_q3,largest_coefficient_mean,largest_coefficient_median,largest_coefficient_std,largest_coefficient_q1,largest_coefficient_q3,largest_coefficient_share_mean,largest_coefficient_share_median,largest_coefficient_share_std,largest_coefficient_share_q1,largest_coefficient_share_q3,herfindahl_mean,herfindahl_median,herfindahl_std,herfindahl_q1,herfindahl_q3,output_token_inclusion_rate,output_token_share_when_present,output_token_top_rate,active_set_size_mean,n_iterations_mean,residual_decrease_relative_mean,stop_reasons
14,10,all,all,all,76,0.0016971081,0.0012325048,0.0011265919,0.00089779496,0.0023037046,0.99915093,0.99938357,0.00056393293,0.99884751,0.99955098,136.95799,139.0692,10.932632,132.59529,143.86948,136.84201,138.88596,10.927949,132.30621,143.75962,97.314971,93.609219,32.997088,70.288412,121.6167,20.656386,18.470301,9.4471962,13.324972,27.345928,0.20952379,0.20437749,0.04916988,0.17261533,0.23760471,0.12855054,0.12500576,0.018105775,0.11695532,0.13614667,0.039473684,0.17564724,0.013157895,9.9473684,10,0.00084907351,max_atoms=76
14,10,chat,all,all,16,0.00081414357,0.00087788701,0.00039412964,0.00040961802,0.0011903644,0.99959283,0.99956095,0.00019713327,0.99940468,0.99979518,129.29727,128.89156,13.23048,116.5961,142.22108,129.24699,128.84002,13.249727,116.52503,142.19296,55.663047,54.811135,7.8458483,50.108753,61.587633,10.670097,10.432582,1.8804181,9.4071789,11.949383,0.19380238,0.18669171,0.035092777,0.1664678,0.22619504,0.12436504,0.12191394,0.012221537,0.1156452,0.13439764,0,,0,10,10,0.00040717232,max_atoms=16
14,10,plain,all,all,60,0.0019325654,0.0015725195,0.0011428495,0.0010427684,0.0027628839,0.99903309,0.99921343,0.00057210526,0.99861759,0.99947847,139.00085,139.0692,9.3420092,134.44989,144.89727,138.86735,138.88596,9.3465356,134.38628,144.70778,108.42215,102.44533,27.793712,88.545843,136.49926,23.319397,20.232959,8.8485956,16.469917,29.075621,0.21371617,0.20961409,0.051723528,0.1747866,0.23891011,0.12966668,0.12548968,0.019306143,0.11773336,0.13993437,0.05,0.17564724,0.016666667,9.9333333,10,0.00096691382,max_atoms=60
14,10,all,all,-2,38,0.0018351298,0.0013046265,0.0010268936,0.0011014342,0.0026117563,0.99908188,0.99934748,0.00051402144,0.99869327,0.99944913,135.02462,137.78489,12.546619,122.71525,144.52185,134.89848,137.65939,12.51269,122.64513,144.36049,101.27576,97.101277,33.151992,70.998406,135.35816,21.576834,18.886276,10.009138,15.01554,27.996822,0.20983189,0.19924753,0.055697353,0.17317214,0.22844338,0.12829368,0.12350822,0.02194313,0.11675089,0.13279927,0,,0,9.9473684,10,0.00091811614,max_atoms=38
14,10,all,all,-1,38,0.0015590865,0.0011805296,0.001216175,0.00067952275,0.0019191206,0.99921997,0.99940956,0.00060879111,0.99903996,0.99966016,138.89137,139.98256,8.785194,134.59265,143.76604,138.78554,139.95328,8.8171157,134.45152,143.69891,93.354179,92.217902,32.798849,69.933298,109.6569,19.735938,18.470301,8.8875248,12.627431,26.686026,0.20921569,0.20662395,0.042406447,0.17175605,0.23805784,0.1288074,0.13096017,0.013522635,0.11829884,0.13619913,0.078947368,0.17564724,0.026315789,9.9473684,10,0.00078003087,max_atoms=38
14,10,all,antonym,all,14,0.0012904448,0.0010581613,0.00093733524,0.00088049471,0.001187101,0.99935447,0.9994708,0.00046917629,0.99940631,0.99955961,142.43877,144.34586,11.766077,140.58543,150.41405,142.34715,144.29851,11.763538,140.51427,150.33743,92.340971,94.037702,29.854544,67.490373,105.64815,20.243479,18.947576,8.4882463,15.19023,28.143953,0.21541511,0.21166472,0.044626013,0.18947166,0.24648659,0.12933006,0.13332446,0.014028153,0.12414533,0.13606324,0,,0,10,10,0.00064553018,max_atoms=14
14,10,all,association,all,12,0.0020156652,0.0018996596,0.0013694936,0.0010771155,0.0023160875,0.99899144,0.99904969,0.00068564295,0.99884133,0.99946129,132.01745,133.66202,9.3730037,127.19213,135.3692,131.88475,133.52119,9.3743736,126.95128,135.21047,104.09279,109.48997,35.664613,72.758604,126.28525,21.405141,19.913552,9.7561786,15.535979,27.617693,0.20324115,0.19617538,0.040453452,0.1747866,0.22366799,0.12451701,0.12351802,0.011599078,0.11898346,0.12899598,0.083333333,0.13139401,0,10,10,0.0010085582,max_atoms=12
14,10,all,counting,all,10,0.0016593754,0.0014160872,0.00077853429,0.001237914,0.0020661503,0.9991699,0.99929172,0.00038960733,0.99896638,0.99938084,142.79155,142.95644,11.328951,137.99163,151.36376,142.67087,142.89651,11.289779,137.89482,151.2196,108.43521,105.32526,35.485568,92.841709,137.71693,22.304765,22.081082,8.5949927,16.055258,27.944582,0.20697203,0.1971573,0.046718675,0.17249882,0.233901,0.12970025,0.1281891,0.016038706,0.11735517,0.14397795,0,,0,10,10,0.00083010538,max_atoms=10
14,10,all,factual,all,16,0.0022084489,0.0019542575,0.0012726204,0.0012660921,0.0032940656,0.99889497,0.99902236,0.00063705798,0.99835156,0.99936676,133.62353,137.81873,8.8649629,128.32344,139.6842,133.47488,137.73042,8.8413181,128.21908,139.51332,105.95766,102.43828,38.701115,82.693021,138.57145,23.152295,21.580084,11.024876,13.711119,31.763319,0.21286031,0.21722926,0.04279189,0.17869631,0.23670172,0.12788273,0.1259649,0.013775455,0.11729366,0.13993437,0.125,0.19777385,0.0625,9.9375,10,0.0011050325,max_atoms=16
14,10,all,multihop,all,12,0.0015610158,0.0012204945,0.0010053717,0.00094474852,0.0018839836,0.99921907,0.99938959,0.00050321259,0.99905752,0.99952753,139.50028,141.55908,9.3915406,135.98692,145.31657,139.38998,141.48759,9.363304,135.90896,145.11792,90.234863,84.456066,29.255899,69.805097,106.33375,20.701735,15.863432,12.100212,13.188363,23.06614,0.22303137,0.22534858,0.077911627,0.16919317,0.24024919,0.13880334,0.13278133,0.032926936,0.12223682,0.14548034,0,,0,9.9166667,10,0.00078093468,max_atoms=12
14,10,all,syntactic,all,12,0.0013387402,0.00083321333,0.0010777583,0.0006980598,0.0014023185,0.99933027,0.99958327,0.00053941768,0.99929856,0.99965091,132.54666,135.9122,11.083196,125.43877,141.3568,132.46078,135.863,11.112015,125.39104,141.3,82.629802,79.635247,24.024118,69.121039,93.369193,15.642481,15.657761,3.9742538,13.018646,18.466362,0.19310342,0.19273794,0.039224406,0.16760319,0.20555573,0.12135417,0.11759052,0.011093168,0.11523386,0.12238269,0,,0,9.8333333,10,0.00066972298,max_atoms=12
14,10,chat,all,-2,8,0.0011887997,0.0011916161,5.8842139e-05,0.0011439472,0.0012253076,0.99940544,0.99940404,2.9434927e-05,0.99938719,0.99942787,116.54566,116.4475,0.78916245,116.06808,117.0459,116.47635,116.37804,0.78650344,116.00012,116.97367,62.613733,61.621386,3.113696,60.683811,65.55814,11.151899,10.681693,1.9771132,10.159568,11.569298,0.17845865,0.17548997,0.032310254,0.16162525,0.18725442,0.11489298,0.1155518,0.0055827733,0.11007031,0.11691042,0,,0,10,10,0.00059457598,max_atoms=8
14,10,chat,all,-1,8,0.0004394874,0.00040820241,9.2551013e-05,0.00039416552,0.00043280423,0.99978022,0.99979588,4.6288126e-05,0.99978356,0.9998029,142.04888,142.30609,1.6761924,140.64309,142.95242,142.01762,142.27771,1.6721244,140.61584,142.92287,48.712361,49.89509,3.4330688,48.485086,50.567121,10.188295,9.8924131,1.7713034,8.8386247,11.949383,0.20914611,0.2125368,0.032509329,0.18387726,0.23647516,0.1338371,0.13489563,0.0091557913,0.12965459,0.1375772,0,,0,10,10,0.00021976866,max_atoms=8
14,10,plain,all,-2,30,0.0020074844,0.0019976795,0.0010948079,0.0010074824,0.002815038,0.9989956,0.99900064,0.00054801169,0.99859148,0.99949612,139.95234,139.69849,9.0207504,135.05793,146.39498,139.81105,139.6369,9.0012712,134.92328,146.16494,111.58564,109.98009,29.624273,90.594247,140.25133,24.356817,21.363889,9.4287143,16.740534,31.283083,0.21819809,0.21338801,0.057983206,0.17668094,0.23617611,0.1318672,0.12461077,0.023325015,0.11885007,0.14136906,0,,0,9.9333333,10,0.0010043935,max_atoms=30
14,10,plain,all,-1,30,0.0018576463,0.0012629926,0.001202926,0.0010477751,0.0021819025,0.99907057,0.99936834,0.0006022224,0.99890846,0.99947597,138.04936,137.67396,9.7112643,134.40162,144.05486,137.92365,137.55718,9.7397303,134.29401,143.86692,105.25866,98.829721,25.948322,88.094627,121.1521,22.281976,19.799786,8.2563824,15.393042,27.944582,0.20923424,0.20662395,0.045158459,0.17175605,0.23960743,0.12746615,0.12699108,0.014290979,0.11625658,0.13580342,0.1,0.17564724,0.033333333,9.9333333,10,0.00092943412,max_atoms=30
