k,layer_from,layer_to,format,cut,n,mean_delta_explained_fraction,median_delta_explained_fraction,mean_active_set_jaccard,median_active_set_jaccard,mean_weighted_similarity,mean_delta_herfindahl,mean_top1_share_to,mean_persistence_length,output_alignment_rate_to,mean_output_coefficient_share_to
10,14,21,all,all,76,-0.0016744011,-0.0012102127,0.04064401,0.052631579,0.1073308,-0.0017929065,0.20474487,0,0.026315789,0.0038413302
10,14,21,chat,all,16,-0.00078571215,-0.00085011125,0.033442982,0.052631579,0.058147911,0.0092370236,0.21293418,0,0,0
10,14,21,plain,all,60,-0.0019113849,-0.0015536547,0.042564284,0.052631579,0.12044623,-0.0047342212,0.20256105,0,0.033333333,0.0048656849
10,14,21,all,-2,38,-0.0018100582,-0.001278609,0.050703384,0.052631579,0.13112098,-0.00029078252,0.20894786,0,0,0
10,14,21,all,-1,38,-0.0015387441,-0.0011645854,0.030584637,0,0.083540619,-0.0032950304,0.20054188,0,0.052631579,0.0076826603
10,14,21,all,category:antonym,14,-0.0012687913,-0.0010412037,0.046857339,0.052631579,0.099575142,-0.0072528509,0.19688314,0,0.071428571,0.0095750453
10,14,21,all,category:association,12,-0.0019938697,-0.0018802881,0.048362071,0,0.1380398,-0.0043958541,0.18446188,0,0,0
10,14,21,all,category:counting,10,-0.0016360223,-0.0013922453,0.049122807,0.052631579,0.061801013,-0.0066009928,0.2024171,0,0,0
10,14,21,all,category:factual,16,-0.002183225,-0.0019325316,0.041548418,0.026315789,0.12232568,0.0020403559,0.21454668,0,0.0625,0.0098681537
10,14,21,all,category:multihop,12,-0.0015414308,-0.0011945963,0.036119711,0.052631579,0.15738443,-0.0019600576,0.22094757,0,0,0
10,14,21,all,category:syntactic,12,-0.0013146649,-0.00081378222,0.021929825,0,0.053564731,0.0062428495,0.2068679,0,0,0
10,21,28,all,all,76,0.0072741924,0.0075508654,0.0070406279,0,0.018431797,0.021659275,0.24674941,0,0.052631579,0.011863521
10,21,28,chat,all,16,0.004112877,0.0041759014,0.0032894737,0,0.0029595926,0.016457185,0.24818269,0,0,0
10,21,28,plain,all,60,0.0081172099,0.0079277754,0.0080409357,0,0.022557718,0.0230465,0.24636721,0,0.066666667,0.015027127
10,21,28,all,-2,38,0.0066507616,0.0068312287,0.0043090182,0,0.0072181635,0.01577855,0.23714715,0,0.052631579,0.0065384177
10,21,28,all,-1,38,0.0078976233,0.0082753301,0.0097722376,0,0.02964543,0.027540001,0.25635168,0,0.052631579,0.017188625
10,21,28,all,category:antonym,14,0.0073714767,0.0060850978,0.011278195,0,0.036103196,0.011624672,0.20684921,0,0,0
10,21,28,all,category:association,12,0.0070702036,0.0070538819,0.0046296296,0,0.00064477847,0.04187024,0.28403086,0,0.16666667,0.054430646
10,21,28,all,category:counting,10,0.0078919291,0.0081326365,0,0,0,0.024188324,0.23261784,0,0,0
10,21,28,all,category:factual,16,0.0075667612,0.0081312954,0.013523392,0,0.020102731,0.018621102,0.25564789,0,0.0625,0.013660173
